Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
program call,70,11:15:00,,churn,50,11:45:00,,,,,,,,
chat with HLA,40,12:25:00,,lunch,45,12:35:00,,,,,,,,
work,5,13:05:00,,work,25,13:20:00,,,,,,,,
program,20,13:10:00,,churn,40,13:45:00,,,,,,,,
eat,20,13:30:00,,expendtures research,40,14:25:00,,,,,,,,
work,35,13:50:00,,work,25,15:05:00,,,,,,,,
program,45,14:25:00,,program,45,15:30:00,,,,,,,,
work,10,15:10:00,,parenting research,20,16:15:00,,,,,,,,
program,60,15:20:00,,program,25,16:35:00,,,,,,,,
churn,5,16:20:00,,work,45,17:00:00,,,,,,,,
work,70,16:25:00,,eat,5,17:45:00,,,,,,,,
program,35,17:35:00,,leave,,17:50:00,,,,,,,,
expenditures research,25,18:10:00,,,,,,,,,,,,
music,5,18:35:00,,,,,,,,,,,,
leave,,18:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,25-Aug-14,ACTUAL,,Date:,25-Aug-14,PLAN,,,,,,,,
wake up get ready,45,7:45:00,,wake up get ready,45,7:45:00,,,,,,,,
drive to work,15,8:30:00,,drive to work,15,8:30:00,,,,,,,,
prayer and meditation,25,8:45:00,,prayer and meditation,25,8:45:00,,,,,,,,
boot machine,10,9:10:00,,boot machine,10,9:10:00,,,,,,,,
plan,10,9:20:00,,plan,5,9:20:00,,,,,,,,
program,5,9:30:00,,program,25,9:25:00,,,,,,,,
synopsis,10,9:35:00,,subanalytics,20,9:50:00,,,,,,,,
program,20,9:45:00,,work,20,10:10:00,,,,,,,,
work,20,10:05:00,,meeting,60,10:30:00,,,,,,,,
bathroom,5,10:25:00,,work,30,11:30:00,,,,,,,,
meeting,65,10:30:00,,lunch,80,12:00:00,,,,,,,,
work,25,11:35:00,,work,55,13:20:00,,,,,,,,
lunch,120,12:00:00,,unplanned,30,14:15:00,,,,,,,,
work,60,14:00:00,,work,55,14:45:00,,,,,,,,
churn,30,15:00:00,,gym,55,15:40:00,,,,,,,,
work,80,15:30:00,,work,30,16:35:00,,,,,,,,
leave,,16:50:00,,leave,,17:05:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,22-Aug-14,ACTUAL,,Date:,22-Aug-14,PLAN,,,,,,,,
wake up get ready,65,8:05:00,,wake up get ready,65,8:15:00,,,,,,,,
drive to work,15,9:10:00,,drive to work,15,9:20:00,,,,,,,,
churn,15,9:25:00,,churn,15,9:35:00,,,,,,,,
plan,10,9:40:00,,plan,10,9:50:00,,,,,,,,
program,30,9:50:00,,program,30,10:00:00,,,,,,,,
work,30,10:20:00,,work,30,10:30:00,,,,,,,,
churn,5,10:50:00,,eat,25,11:00:00,,,,,,,,
program calls,15,10:55:00,,work,25,11:25:00,,,,,,,,
eat,30,11:10:00,,unplanned,15,11:50:00,,,,,,,,
work,55,11:40:00,,work,45,12:05:00,,,,,,,,
music,35,12:35:00,,music,35,12:50:00,,,,,,,,
work,20,13:10:00,,program,50,13:25:00,,,,,,,,
nap,55,13:30:00,,unplanned,20,14:15:00,,,,,,,,
humor,30,14:25:00,,work,45,14:35:00,,,,,,,,
work,60,14:55:00,,subanalytics,50,15:20:00,,,,,,,,
bathroom,15,15:55:00,,work,35,16:10:00,,,,,,,,
work,35,16:10:00,,leave,,16:45:00,,,,,,,,
research,10,16:45:00,,,,,,,,,,,,
leave,,16:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,7-Aug-14,ACTUAL,,Date:,7-Aug-14,PLAN,,,,,,,,
wake up,5,8:15:00,,wake up,5,8:15:00,,,,,,,,
have sex and talk,80,8:20:00,,have sex and talk,80,8:20:00,,,,,,,,
wake up get ready,50,9:40:00,,wake up get ready,50,9:40:00,,,,,,,,
drive to work,15,10:30:00,,drive to work,15,10:30:00,,,,,,,,
yet more talking,15,10:45:00,,yet more talking,15,10:45:00,,,,,,,,
churn,5,11:00:00,,churn,5,11:00:00,,,,,,,,
BRUNCH,30,11:05:00,,BRUNCH,30,11:05:00,,,,,,,,
plan,5,11:35:00,,plan,5,11:35:00,,,,,,,,
program,10,11:40:00,,program,10,11:40:00,,,,,,,,
prayer & meditation,25,11:50:00,,prayer & meditation,25,11:50:00,,,,,,,,
work,15,12:15:00,,work,50,12:15:00,,,,,,,,
break,10,12:30:00,,Gym,60,13:05:00,,,,,,,,
bathroom,5,12:40:00,,work,35,14:05:00,,,,,,,,
work,20,12:45:00,,Break,25,14:40:00,,,,,,,,
break,5,13:05:00,,meeting,60,15:05:00,,,,,,,,
work,10,13:10:00,,work,35,16:05:00,,,,,,,,
gym,45,13:20:00,,Break,25,16:40:00,,,,,,,,
program call,50,14:05:00,,work,45,17:05:00,,,,,,,,
churn,10,14:55:00,,"leave for dinner, ballet",,17:50:00,,,,,,,,
meeting,50,15:05:00,,,,,,,,,,,,
work,35,15:55:00,,,,,,,,,,,,
bathroom,5,16:30:00,,,,,,,,,,,,
churn,30,16:35:00,,,,,,,,,,,,
break,20,17:05:00,,,,,,,,,,,,
work,30,17:25:00,,,,,,,,,,,,
"leave for dinner, ballet",,17:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,6-Aug-14,ACTUAL,,Date:,6-Aug-14,PLAN,,,,,,,,
wake up get ready,200,7:30:00,,wake up get ready,200,7:30:00,,,,,,,,
birthing center,175,10:50:00,,birthing center,175,10:50:00,,,,,,,,
drive to work,15,13:45:00,,drive to work,15,13:45:00,,,,,,,,
work,60,14:00:00,,work,15,14:00:00,,,,,,,,
plan,5,15:00:00,,plan,5,14:15:00,,,,,,,,
break,10,15:05:00,,work,60,14:20:00,,,,,,,,
work,10,15:15:00,,Break,25,15:20:00,,,,,,,,
break,20,15:25:00,,work,65,15:45:00,,,,,,,,
bathroom,5,15:45:00,,break,25,16:50:00,,,,,,,,
work,35,15:50:00,,work,60,17:15:00,,,,,,,,
bathroom,10,16:25:00,,leave,,18:15:00,,,,,,,,
brush teeth,10,16:35:00,,,,,,,,,,,,
work,45,16:45:00,,,,,,,,,,,,
subanalytics,55,17:30:00,,,,,,,,,,,,
work,20,18:25:00,,,,,,,,,,,,
leave,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,5-Aug-14,ACTUAL,,Date:,5-Aug-14,PLAN,,,,,,,,
wake up get ready,100,8:35:00,,wake up get ready,100,8:35:00,,,,,,,,
drive to work,15,10:15:00,,drive to work,15,10:15:00,,,,,,,,
program,10,10:30:00,,program,10,10:30:00,,,,,,,,
plan,5,10:40:00,,plan,5,10:40:00,,,,,,,,
meme research,10,10:45:00,,program,45,10:45:00,,,,,,,,
plan,0,10:55:00,,work,40,11:30:00,,,,,,,,
prayer and meditation,35,10:55:00,,lunch,50,12:10:00,,,,,,,,
work,15,11:30:00,,work,40,13:00:00,,,,,,,,
bathroom,5,11:45:00,,break,60,13:40:00,,,,,,,,
video games,90,11:50:00,,work,40,14:40:00,,,,,,,,
work,45,13:20:00,,program,60,15:20:00,,,,,,,,
program calls,75,14:05:00,,work,35,16:20:00,,,,,,,,
work,40,15:20:00,,leave,,16:55:00,,,,,,,,
video games,30,16:00:00,,,,,,,,,,,,
work,30,16:30:00,,,,,,,,,,,,
humor,40,17:00:00,,,,,,,,,,,,
work,30,17:40:00,,,,,,,,,,,,
leave,,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,4-Aug-14,ACTUAL,,Date:,4-Aug-14,PLAN,,,,,,,,
wake up get ready,60,8:15:00,,wake up get ready,60,8:15:00,,,,,,,,
drive to work,20,9:15:00,,drive to work,20,9:15:00,,,,,,,,
boot,10,9:35:00,,boot,10,9:35:00,,,,,,,,
phone research,10,9:45:00,,phone research,10,9:45:00,,,,,,,,
bathroom,10,9:55:00,,bathroom,10,9:55:00,,,,,,,,
plan,0,10:05:00,,plan,5,10:05:00,,,,,,,,
work,25,10:05:00,,work,20,10:10:00,,,,,,,,
meeting,65,10:30:00,,meeting,60,10:30:00,,,,,,,,
subanalytics,15,11:35:00,,churn,15,11:30:00,,,,,,,,
eat,5,11:50:00,,Break,15,11:45:00,,,,,,,,
video games,85,11:55:00,,work,35,12:00:00,,,,,,,,
eat,5,13:20:00,,Lunch,60,12:35:00,,,,,,,,
work,65,13:25:00,,work,60,13:35:00,,,,,,,,
video games,30,14:30:00,,break,75,14:35:00,,,,,,,,
video,10,15:00:00,,work,30,15:50:00,,,,,,,,
program,15,15:10:00,,Break,30,16:20:00,,,,,,,,
churn,25,15:25:00,,work,30,16:50:00,,,,,,,,
work,90,15:50:00,,leave,,17:20:00,,,,,,,,
leave,,17:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,1-Aug-14,ACTUAL,,Date:,1-Aug-14,PLAN,,,,,,,,
wake up get ready,55,7:35:00,,wake up get ready,55,7:35:00,,,,,,,,
drive to work,15,8:30:00,,drive to work,15,8:30:00,,,,,,,,
work,125,8:45:00,,work,125,8:45:00,,,,,,,,
beer research,60,10:50:00,,beer research,60,10:50:00,,,,,,,,
plan,0,11:50:00,,plan,5,11:50:00,,,,,,,,
lunch,60,11:50:00,,Lunch,60,11:55:00,,,,,,,,
work,70,12:50:00,,work,60,12:55:00,,,,,,,,
video games,45,14:00:00,,break,75,13:55:00,,,,,,,,
break,30,14:45:00,,work,30,15:10:00,,,,,,,,
bathroom,10,15:15:00,,Break,30,15:40:00,,,,,,,,
work,80,15:25:00,,meditate,30,16:10:00,,,,,,,,
meditate,25,16:45:00,,work,30,16:40:00,,,,,,,,
program,15,17:10:00,,Go Home!,,17:10:00,,,,,,,,
work,45,17:25:00,,,,,,,,,,,,
leave,,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,31-Jul-14,ACTUAL,,Date:,31-Jul-14,PLAN,,,,,,,,
wake up get ready,115,7:30:00,,wake up get ready,115,7:30:00,,,,,,,,
drive to work,20,9:25:00,,drive to work,20,9:25:00,,,,,,,,
churn,5,9:45:00,,churn,5,9:45:00,,,,,,,,
work,5,9:50:00,,work,5,9:50:00,,,,,,,,
plan,5,9:55:00,,plan,5,9:55:00,,,,,,,,
program,15,10:00:00,,program,35,10:00:00,,,,,,,,
beer research,40,10:15:00,,work,60,10:35:00,,,,,,,,
work,55,10:55:00,,Break,25,11:35:00,,,,,,,,
program,15,11:50:00,,Lunch,40,12:00:00,,,,,,,,
lunch,45,12:05:00,,work,60,12:40:00,,,,,,,,
work,70,12:50:00,,Gym,75,13:40:00,,,,,,,,
gym,45,14:00:00,,2 meetings,100,14:55:00,,,,,,,,
work,15,14:45:00,,Break,30,16:35:00,,,,,,,,
2 meetings,95,15:00:00,,work,45,17:05:00,,,,,,,,
beer research,45,16:35:00,,leave,,17:50:00,,,,,,,,
work,15,17:20:00,,,,,,,,,,,,
churn,10,17:35:00,,,,,,,,,,,,
program call,15,17:45:00,,,,,,,,,,,,
work,15,18:00:00,,,,,,,,,,,,
leave,,18:15:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,30-Jul-14,ACTUAL,,Date:,30-Jul-14,PLAN,,,,,,,,
wake up get ready,115,7:55:00,,wake up get ready,115,7:55:00,,,,,,,,
bike no shower,25,9:50:00,,bike no shower,25,9:50:00,,,,,,,,
work,100,10:15:00,,work,100,10:15:00,,,,,,,,
video,10,11:55:00,,video,10,11:55:00,,,,,,,,
plan,5,12:05:00,,plan,5,12:05:00,,,,,,,,
video,40,12:10:00,,video,30,12:10:00,,,,,,,,
lunch,25,12:50:00,,Lunch,40,12:40:00,,,,,,,,
work,65,13:15:00,,work,65,13:20:00,,,,,,,,
video,35,14:20:00,,break,25,14:25:00,,,,,,,,
program,45,14:55:00,,work,55,14:50:00,,,,,,,,
work,10,15:40:00,,Break,25,15:45:00,,,,,,,,
program calls,30,15:50:00,,work,50,16:10:00,,,,,,,,
program,15,16:20:00,,break,15,17:00:00,,,,,,,,
beer research,20,16:35:00,,work,45,17:15:00,,,,,,,,
work,35,16:55:00,,leave,,18:00:00,,,,,,,,
leave,,17:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,29-Jul-14,ACTUAL,,Date:,29-Jul-14,PLAN,,,,,,,,
wake up get ready,55,8:45:00,,wake up get ready,55,8:45:00,,,,,,,,
bike no shower,25,9:40:00,,bike no shower,25,9:40:00,,,,,,,,
work,90,10:05:00,,work,90,10:05:00,,,,,,,,
program,55,11:35:00,,program,55,11:35:00,,,,,,,,
lunch,35,12:30:00,,lunch,35,12:30:00,,,,,,,,
plan,5,13:05:00,,plan,5,13:05:00,,,,,,,,
video,5,13:10:00,,video,15,13:10:00,,,,,,,,
work,105,13:15:00,,work,45,13:25:00,,,,,,,,
meeting,50,15:00:00,,break,10,14:10:00,,,,,,,,
work,55,15:50:00,,work,40,14:20:00,,,,,,,,
prayer and meditation,25,16:45:00,,meeting,60,15:00:00,,,,,,,,
program,10,17:10:00,,work,45,16:00:00,,,,,,,,
work,15,17:20:00,,Break,20,16:45:00,,,,,,,,
leave,,17:35:00,,work,45,17:05:00,,,,,,,,
,,,,leave,,17:50:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,28-Jul-14,ACTUAL,,Date:,28-Jul-14,PLAN,,,,,,,,
wake up get ready,70,7:15:00,,wake up get ready,70,7:15:00,,,,,,,,
bike no shower,20,8:25:00,,bike no shower,20,8:25:00,,,,,,,,
work,105,8:45:00,,work,105,8:45:00,,,,,,,,
meeting,75,10:30:00,,meeting,75,10:30:00,,,,,,,,
churn,15,11:45:00,,churn,15,11:45:00,,,,,,,,
lunch,85,12:00:00,,lunch,85,12:00:00,,,,,,,,
plan,5,13:25:00,,plan,5,13:25:00,,,,,,,,
subanalytics,15,13:30:00,,subanalytics,10,13:30:00,,,,,,,,
work,100,13:45:00,,work,55,14:25:00,,,,,,,,
vg,60,15:25:00,,break,25,14:50:00,,,,,,,,
work,40,16:25:00,,work,50,15:40:00,,,,,,,,
leave,,17:05:00,,Break,20,16:00:00,,,,,,,,
,,,,work,50,16:50:00,,,,,,,,
,,,,leave,,16:50:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,25-Jul-14,ACTUAL,,Date:,25-Jul-14,PLAN,,,,,,,,
wake up get ready,75,8:25:00,,wake up get ready,75,8:25:00,,,,,,,,
drive to work,15,9:40:00,,drive to work,15,9:40:00,,,,,,,,
churn,5,9:55:00,,churn,5,9:55:00,,,,,,,,
program calls,35,10:00:00,,program calls,35,10:00:00,,,,,,,,
eat,15,10:35:00,,eat,15,10:35:00,,,,,,,,
program,30,10:50:00,,program,30,10:50:00,,,,,,,,
plan,0,11:20:00,,plan,5,11:20:00,,,,,,,,
work,55,11:20:00,,work,35,11:25:00,,,,,,,,
prayer & meditation,25,12:15:00,,Break,15,12:00:00,,,,,,,,
program,25,12:40:00,,work,20,12:15:00,,,,,,,,
video games,30,13:05:00,,Lunch,60,12:35:00,,,,,,,,
work,60,13:35:00,,work,60,13:35:00,,,,,,,,
eat,25,14:35:00,,Gym,75,14:35:00,,,,,,,,
synopsis,15,15:00:00,,work,45,15:50:00,,,,,,,,
video,10,15:15:00,,Break,25,16:35:00,,,,,,,,
churn,15,15:25:00,,work,40,17:00:00,,,,,,,,
work,105,15:40:00,,Meditate,30,17:40:00,,,,,,,,
program,20,17:25:00,,Go Home!,,18:10:00,,,,,,,,
video games,25,17:45:00,,,,18:10:00,,,,,,,,
work,45,18:10:00,,,,18:10:00,,,,,,,,
leave,,18:55:00,,,,18:10:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,24-Jul-14,ACTUAL,,Date:,24-Jul-14,PLAN,,,,,,,,
wake up get ready,80,8:25:00,,wake up get ready,80,8:25:00,,,,,,,,
drive to work,15,9:45:00,,drive to work,15,9:45:00,,,,,,,,
work,35,10:00:00,,work,35,10:00:00,,,,,,,,
amica shit,15,10:35:00,,amica shit,15,10:35:00,,,,,,,,
work,20,10:50:00,,work,20,10:50:00,,,,,,,,
program,20,11:10:00,,program,20,11:10:00,,,,,,,,
plan,10,11:30:00,,plan,10,11:30:00,,,,,,,,
work,15,11:40:00,,work,10,11:40:00,,,,,,,,
program,40,11:55:00,,program,45,11:50:00,,,,,,,,
work,40,12:35:00,,work,20,12:35:00,,,,,,,,
lunch,45,13:15:00,,lunch,45,12:55:00,,,,,,,,
work,60,14:00:00,,work,50,13:40:00,,,,,,,,
meeting,65,15:00:00,,break,50,14:30:00,,,,,,,,
work,20,16:05:00,,work,35,15:20:00,,,,,,,,
program calls,20,16:25:00,,Break,25,15:55:00,,,,,,,,
work,15,16:45:00,,program,25,16:20:00,,,,,,,,
program call,5,17:00:00,,work,30,16:50:00,,,,,,,,
synopsis,10,17:05:00,,,,17:15:00,,,,,,,,
program call,5,17:15:00,,,,,,,,,,,,
work,45,17:20:00,,,,,,,,,,,,
leave,,18:05:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,23-Jul-14,ACTUAL,,Date:,23-Jul-14,PLAN,,,,,,,,
wake up get ready,105,8:25:00,,wake up get ready,105,8:25:00,,,,,,,,
drive to work,20,10:10:00,,drive to work,20,10:10:00,,,,,,,,
plan,10,10:30:00,,plan,10,10:30:00,,,,,,,,
program,20,10:40:00,,program,20,10:40:00,,,,,,,,
work,35,11:00:00,,work,40,11:00:00,,,,,,,,
program call,25,11:35:00,,churn,15,11:40:00,,,,,,,,
work,40,12:00:00,,Break,15,11:55:00,,,,,,,,
lunch,75,12:40:00,,work,35,12:10:00,,,,,,,,
churn,10,13:55:00,,Lunch,75,12:45:00,,,,,,,,
work,60,14:05:00,,work,70,14:00:00,,,,,,,,
azure shit,85,15:05:00,,break,35,15:10:00,,,,,,,,
work,65,16:30:00,,work,70,15:45:00,,,,,,,,
video games,55,17:35:00,,Break,30,16:55:00,,,,,,,,
work,55,18:30:00,,work,55,17:25:00,,,,,,,,
program,30,19:25:00,,Meditate,15,18:20:00,,,,,,,,
churn,5,19:55:00,,leave,,18:35:00,,,,,,,,
leave,,20:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,22-Jul-14,ACTUAL,,Date:,22-Jul-14,PLAN,,,,,,,,
wake up get ready,55,9:15:00,,wake up get ready,55,9:15:00,,,,,,,,
drive to work,15,10:10:00,,drive to work,15,10:10:00,,,,,,,,
work,75,10:25:00,,work,75,10:25:00,,,,,,,,
plan,0,11:40:00,,plan,5,11:40:00,,,,,,,,
lunch,55,11:40:00,,lunch,50,11:45:00,,,,,,,,
work,35,12:35:00,,break,15,12:35:00,,,,,,,,
break,15,13:10:00,,work,50,12:50:00,,,,,,,,
work,20,13:25:00,,break,25,13:40:00,,,,,,,,
program call,10,13:45:00,,work,75,14:05:00,,,,,,,,
video,25,13:55:00,,break,15,15:20:00,,,,,,,,
work,45,14:20:00,,work,65,15:35:00,,,,,,,,
meeting,30,15:05:00,,break,30,16:40:00,,,,,,,,
work,40,15:35:00,,work,50,17:10:00,,,,,,,,
video,55,16:15:00,,leave,,18:00:00,,,,,,,,
work,55,17:10:00,,,,,,,,,,,,
leave,,18:05:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,21-Jul-14,ACTUAL,,Date:,21-Jul-14,PLAN,,,,,,,,
wake up get ready,100,7:10:00,,wake up get ready,100,7:10:00,,,,,,,,
drive to work,15,8:50:00,,drive to work,15,8:50:00,,,,,,,,
churn,30,9:05:00,,churn,30,9:05:00,,,,,,,,
work,10,9:35:00,,work,10,9:35:00,,,,,,,,
plan,5,9:45:00,,plan,5,9:45:00,,,,,,,,
churn,5,9:50:00,,program,10,9:50:00,,,,,,,,
plan,0,9:55:00,,work,45,10:00:00,,,,,,,,
program,10,9:55:00,,break,15,10:45:00,,,,,,,,
work,20,10:05:00,,work,50,11:00:00,,,,,,,,
program calls,10,10:25:00,,lunch,60,11:50:00,,,,,,,,
work,20,10:35:00,,work,80,12:50:00,,,,,,,,
video games,10,10:55:00,,break,25,14:10:00,,,,,,,,
work,25,11:05:00,,work,75,14:35:00,,,,,,,,
break,5,11:30:00,,break,30,15:50:00,,,,,,,,
work,5,11:35:00,,work,60,16:20:00,,,,,,,,
amica shit,50,11:40:00,,leave,,17:20:00,,,,,,,,
video games,25,12:30:00,,,,,,,,,,,,
churn,5,12:55:00,,,,,,,,,,,,
program call,25,13:00:00,,,,,,,,,,,,
google shit,5,13:25:00,,,,,,,,,,,,
video games,10,13:30:00,,,,,,,,,,,,
lunch,15,13:40:00,,,,,,,,,,,,
work,30,13:55:00,,,,,,,,,,,,
video,5,14:25:00,,,,,,,,,,,,
work,70,14:30:00,,,,,,,,,,,,
video games,45,15:40:00,,,,,,,,,,,,
work,40,16:25:00,,,,,,,,,,,,
video games,35,17:05:00,,,,,,,,,,,,
work,5,17:40:00,,,,,,,,,,,,
leave,,17:45:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,18-Jul-14,ACTUAL,,Date:,18-Jul-14,PLAN,,,,,,,,
wake up get ready,60,9:00:00,,wake up get ready,60,9:00:00,,,,,,,,
bike no shower,15,10:00:00,,bike no shower,15,10:00:00,,,,,,,,
bathroom,5,10:15:00,,bathroom,5,10:15:00,,,,,,,,
break,10,10:20:00,,break,10,10:20:00,,,,,,,,
work,75,10:30:00,,,,10:30:00,,,,,,,,
program,50,11:45:00,,,,10:30:00,,,,,,,,
lunch,10,12:35:00,,,,10:30:00,,,,,,,,
video games,50,12:45:00,,,,10:30:00,,,,,,,,
work,30,13:35:00,,,,10:30:00,,,,,,,,
meeting,65,14:05:00,,,,10:30:00,,,,,,,,
work,30,15:10:00,,,,10:30:00,,,,,,,,
program,45,15:40:00,,,,10:30:00,,,,,,,,
work,45,16:25:00,,,,10:30:00,,,,,,,,
video games,25,17:10:00,,,,10:30:00,,,,,,,,
work,10,17:35:00,,,,10:30:00,,,,,,,,
video games,15,17:45:00,,,,10:30:00,,,,,,,,
work,10,18:00:00,,,,,,,,,,,,
video games,65,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,17-Jul-14,ACTUAL,,Date:,17-Jul-14,PLAN,,,,,,,,
wake up get ready,125,7:40:00,,wake up get ready,125,7:40:00,,,,,,,,
bike no shower,20,9:45:00,,bike no shower,20,9:45:00,,,,,,,,
plan,5,10:05:00,,plan,5,10:05:00,,,,,,,,
TMS research,10,10:10:00,,TMS research,30,10:10:00,,,,,,,,
break,20,10:20:00,,work,45,10:40:00,,,,,,,,
TMS research,15,10:40:00,,video games,45,11:25:00,,,,,,,,
work,30,10:55:00,,work,45,12:10:00,,,,,,,,
program,20,11:25:00,,lunch,40,12:55:00,,,,,,,,
work,15,11:45:00,,work,45,13:35:00,,,,,,,,
lunch,65,12:00:00,,break,15,14:20:00,,,,,,,,
work,40,13:05:00,,work,25,14:35:00,,,,,,,,
program call,15,13:45:00,,meetings,105,15:00:00,,,,,,,,
work,10,14:00:00,,drink champagne,25,16:45:00,,,,,,,,
video games,60,14:10:00,,work,25,17:10:00,,,,,,,,
meeting,60,15:10:00,,leave,,17:35:00,,,,,,,,
video games,15,16:10:00,,,,,,,,,,,,
work,15,16:25:00,,,,,,,,,,,,
drink champagne,25,16:40:00,,,,,,,,,,,,
work,30,17:05:00,,,,,,,,,,,,
program ,10,17:35:00,,,,,,,,,,,,
video games,25,17:45:00,,,,,,,,,,,,
leave,,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,16-Jul-14,ACTUAL,,Date:,16-Jul-14,PLAN,,,,,,,,
wake up get ready,85,7:50:00,,wake up get ready,85,7:50:00,,,,,,,,
car craziness,50,9:15:00,,car craziness,50,9:15:00,,,,,,,,
work,150,10:05:00,,work,150,10:05:00,,,,,,,,
program,5,12:35:00,,program,5,12:35:00,,,,,,,,
lunch,35,12:40:00,,lunch,35,12:40:00,,,,,,,,
work,10,13:15:00,,work,10,13:15:00,,,,,,,,
plan,0,13:25:00,,plan,5,13:25:00,,,,,,,,
work,5,13:25:00,,work,30,13:30:00,,,,,,,,
synopses,30,13:30:00,,meeting,65,14:00:00,,,,,,,,
meeting,70,14:00:00,,work,40,15:05:00,,,,,,,,
work,50,15:10:00,,break,25,15:45:00,,,,,,,,
break,25,16:00:00,,work,25,16:10:00,,,,,,,,
work,10,16:25:00,,leave,,16:35:00,,,,,,,,
leave,,16:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,15-Jul-14,ACTUAL,,Date:,15-Jul-14,PLAN,,,,,,,,
wake up get ready,85,7:50:00,,wake up get ready,85,7:50:00,,,,,,,,
drive to work,15,9:15:00,,drive to work,15,9:15:00,,,,,,,,
shower at C,15,9:30:00,,shower at C,15,9:30:00,,,,,,,,
drive to R,20,9:45:00,,drive to R,20,9:45:00,,,,,,,,
program,45,10:05:00,,program,45,10:05:00,,,,,,,,
plan,0,10:50:00,,plan,5,10:50:00,,,,,,,,
work,75,10:50:00,,work,60,10:55:00,,,,,,,,
churn,10,12:05:00,,harris teeter switch cars,100,11:55:00,,,,,,,,
harris teeter switch cars,60,12:15:00,,Break,15,13:35:00,,,,,,,,
eat,10,13:15:00,,work,35,13:50:00,,,,,,,,
car seats,45,13:25:00,,Lunch,25,14:25:00,,,,,,,,
cake in the conf room,20,14:10:00,,work,65,14:50:00,,,,,,,,
churn,5,14:30:00,,break,30,15:55:00,,,,,,,,
work,65,14:35:00,,work,60,16:25:00,,,,,,,,
break,30,15:40:00,,break,10,17:25:00,,,,,,,,
work,85,16:10:00,,work,35,17:35:00,,,,,,,,
break,25,17:35:00,,,,18:10:00,,,,,,,,
work,10,18:00:00,,,,18:10:00,,,,,,,,
leave,,18:10:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,14-Jul-14,ACTUAL,,Date:,14-Jul-14,PLAN,,,,,,,,
wake up get ready,65,7:35:00,,wake up get ready,65,7:35:00,,,,,,,,
drive to work,15,8:40:00,,drive to work,15,8:40:00,,,,,,,,
churn,15,8:55:00,,churn,15,8:55:00,,,,,,,,
program,30,9:10:00,,program,30,9:10:00,,,,,,,,
plan,0,9:40:00,,plan,5,9:40:00,,,,,,,,
work,65,9:40:00,,work,45,9:45:00,,,,,,,,
break,15,10:45:00,,meeting,60,10:30:00,,,,,,,,
work,65,11:00:00,,churn,15,11:30:00,,,,,,,,
lunch,75,12:05:00,,Break,15,11:45:00,,,,,,,,
work,5,13:20:00,,work,35,12:00:00,,,,,,,,
program calls,10,13:25:00,,Lunch,75,12:35:00,,,,,,,,
work,20,13:35:00,,work,75,13:50:00,,,,,,,,
juggle,10,13:55:00,,break,30,15:05:00,,,,,,,,
program,60,14:05:00,,work,60,15:35:00,,,,,,,,
nile research,20,15:05:00,,leave,,16:35:00,,,,,,,,
break,10,15:25:00,,,,,,,,,,,,
work,60,15:35:00,,,,,,,,,,,,
program,10,16:35:00,,,,,,,,,,,,
leave,,16:45:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,3-Jul-14,ACTUAL,,Date:,3-Jul-14,PLAN,,,,,,,,
wake up get ready,40,8:30:00,,wake up get ready,40,8:30:00,,,,,,,,
drive to work,20,9:10:00,,drive to work,20,9:10:00,,,,,,,,
plan,5,9:30:00,,plan,5,9:30:00,,,,,,,,
subanalytics,25,9:35:00,,program,15,9:35:00,,,,,,,,
program,20,10:00:00,,work,60,9:50:00,,,,,,,,
work,30,10:20:00,,Break,25,10:50:00,,,,,,,,
program calls,25,10:50:00,,Break,15,11:15:00,,,,,,,,
work,40,11:15:00,,work,20,11:30:00,,,,,,,,
lunch,65,11:55:00,,Lunch,60,11:50:00,,,,,,,,
churn,5,13:00:00,,work,60,12:50:00,,,,,,,,
work,35,13:05:00,,program,75,13:50:00,,,,,,,,
program calls,40,13:40:00,,work,40,15:05:00,,,,,,,,
