Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
work,10,17:25:00,,Break,30,16:30:00,,,,,,,,
leave,,17:35:00,,work,30,17:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,18-Sep-14,ACTUAL,,Date:,18-Sep-14,ACTUAL,,,,,,,,
wake up get ready,75,8:15:00,,wake up get ready,75,8:15:00,,,,,,,,
drive to work,15,9:30:00,,drive to work,15,9:30:00,,,,,,,,
prayer & meditation,25,9:45:00,,prayer & meditation,25,9:45:00,,,,,,,,
work,30,10:10:00,,work,30,10:10:00,,,,,,,,
churn,20,10:40:00,,churn,20,10:40:00,,,,,,,,
meeting,40,11:00:00,,meeting,40,11:00:00,,,,,,,,
program calls,25,11:40:00,,program calls,25,11:40:00,,,,,,,,
work,50,12:05:00,,work,50,12:05:00,,,,,,,,
lunch,45,12:55:00,,lunch,45,12:55:00,,,,,,,,
walk,45,13:40:00,,walk,45,13:40:00,,,,,,,,
work,25,14:25:00,,work,30,14:25:00,,,,,,,,
plan,5,14:50:00,,plan,5,14:55:00,,,,,,,,
mr. rogers research,5,14:55:00,,meeting,70,15:00:00,,,,,,,,
meeting,75,15:00:00,,work,20,16:10:00,,,,,,,,
mr. rogers research,45,16:15:00,,mr. rogers research,25,16:30:00,,,,,,,,
work,15,17:00:00,,work,20,16:55:00,,,,,,,,
subanalytics,20,17:15:00,,,,17:15:00,,,,,,,,
leave,,17:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,17-Sep-14,ACTUAL,,Date:,17-Sep-14,PLAN,,,,,,,,
wake up get ready,70,8:20:00,,wake up get ready,70,8:20:00,,,,,,,,
drive to work,15,9:30:00,,drive to work,15,9:30:00,,,,,,,,
meeting,60,9:45:00,,meeting,60,9:45:00,,,,,,,,
churn,15,10:45:00,,churn,15,10:45:00,,,,,,,,
plan,10,11:00:00,,plan,10,11:00:00,,,,,,,,
program calls,10,11:10:00,,program,35,11:10:00,,,,,,,,
eat,5,11:20:00,,work,30,11:45:00,,,,,,,,
bathroom,5,11:25:00,,lunch,80,12:15:00,,,,,,,,
sea creature research,20,11:30:00,,work,45,13:35:00,,,,,,,,
work,25,11:50:00,,synopses,30,14:20:00,,,,,,,,
lunch,65,12:15:00,,walk,40,14:50:00,,,,,,,,
program call,10,13:20:00,,work,50,15:30:00,,,,,,,,
work,60,13:30:00,,subanalytics,25,16:20:00,,,,,,,,
program call,30,14:30:00,,tea time,15,16:45:00,,,,,,,,
work,45,15:00:00,,work,40,17:00:00,,,,,,,,
program,10,15:45:00,,leave,,17:40:00,,,,,,,,
prayer and meditation,25,15:55:00,,,,,,,,,,,,
synopses,30,16:20:00,,,,,,,,,,,,
work,30,16:50:00,,,,,,,,,,,,
program,15,17:20:00,,,,,,,,,,,,
subanalytics,5,17:35:00,,,,,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,16-Sep-14,ACTUAL,,Date:,16-Sep-14,PLAN,,,,,,,,
wake up get ready,65,8:00:00,,wake up get ready,65,8:00:00,,,,,,,,
gym,10,9:05:00,,gym,10,9:05:00,,,,,,,,
bike and shower,45,9:15:00,,bike and shower,45,9:15:00,,,,,,,,
work,10,10:00:00,,work,10,10:00:00,,,,,,,,
beer research,10,10:10:00,,beer research,10,10:10:00,,,,,,,,
plan,0,10:20:00,,plan,5,10:20:00,,,,,,,,
subanalytics,60,10:20:00,,subanalytics,35,10:25:00,,,,,,,,
work,60,11:20:00,,work,60,11:00:00,,,,,,,,
lunch,90,12:20:00,,beer research,25,12:00:00,,,,,,,,
synopses,25,13:50:00,,lunch,80,12:25:00,,,,,,,,
program calls,15,14:15:00,,work,35,13:45:00,,,,,,,,
work,65,14:30:00,,action plan research,30,14:15:00,,,,,,,,
churn,35,15:35:00,,work,30,14:45:00,,,,,,,,
prayer & meditation,25,16:10:00,,program,75,15:15:00,,,,,,,,
program call,10,16:35:00,,work,35,16:30:00,,,,,,,,
work,35,16:45:00,,Meditate,30,17:05:00,,,,,,,,
subanalytics,65,17:20:00,,work,30,17:35:00,,,,,,,,
work,20,18:25:00,,juggle,25,18:05:00,,,,,,,,
leave,,18:45:00,,leave,,18:35:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,15-Sep-14,ACTUAL,,Date:,15-Sep-14,PLAN,,,,,,,,
wake up get ready,95,7:15:00,,wake up get ready,95,7:15:00,,,,,,,,
errands,40,8:50:00,,errands,40,8:50:00,,,,,,,,
